# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
94-26-8	butylparaben	C038091	94-26-8	AQP11	282679	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AQP12	208760	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AR	367	Rattus norvegicus	10116	20371976|26888303|27444704
94-26-8	butylparaben	C038091	94-26-8	AR	367			20132345
94-26-8	butylparaben	C038091	94-26-8	ARHGAP18	93663	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ARHGAP36	158763	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ARHGAP9	64333	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	ARID5B	84159	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ARL15A	567657	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ARNTL2	56938	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ARR3A	436678	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ASAP2B	560581	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ATF6	22926	Homo sapiens	9606	29319206
94-26-8	butylparaben	C038091	94-26-8	ATIC	471	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ATM	472	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	ATP5L	27425	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	ATR	545	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	AZIN1A	550230	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	BAHCC1	57597	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	BAIAP2B	100537012	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	BCAP31	10134	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	BCKDHBL	555648	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	BCL2L1	598	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	BDNF	627	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	BFB	30489	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	BGLAP	632	Mus musculus	10090	28527915
94-26-8	butylparaben	C038091	94-26-8	BHLHE41	79365	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	BSCL2L	541427	Danio rerio	7955	29458080
