,GeneID,CTD
300,341392,ACSM4
301,54988,ACSM5
302,84532,ACSS1
303,55902,ACSS2
304,79611,ACSS3
305,58,ACTA1
306,59,ACTA2
307,60,ACTB
308,345651,ACTBL2
309,70,ACTC1
310,71,ACTG1
311,72,ACTG2
312,369048,ACTIV1
313,408113,ACTIV2
314,100303013,ACTIV3
315,100303012,ACTIV4
316,101180975,ACTIV5
317,170487,ACTL10
318,67722,ACTL11
319,86,ACTL6A
320,51412,ACTL6B
321,10881,ACTL7A
322,10880,ACTL7B
323,284382,ACTL9
324,292516,ACTL9B
325,87,ACTN1
326,88,ACTN2
327,89,ACTN3
328,81,ACTN4
329,55860,ACTR10
330,10121,ACTR1A
331,10120,ACTR1B
332,10097,ACTR2
333,10096,ACTR3
334,57180,ACTR3B
335,79913,ACTR5
336,64431,ACTR6
337,93973,ACTR8
338,139741,ACTRT1
339,140625,ACTRT2
340,84517,ACTRT3
341,90,ACVR1
342,91,ACVR1B
343,130399,ACVR1C
344,92,ACVR2A
345,93,ACVR2B
346,94,ACVRL1
347,95,ACY1
348,91703,ACY3
349,97,ACYP1
350,98,ACYP2
351,364225,ACYP2-PS1
352,100,ADA
353,132612,ADAD1
354,161931,ADAD2
355,161823,ADAL
356,102,ADAM10
357,4185,ADAM11
358,8038,ADAM12
359,8751,ADAM15
360,6868,ADAM17
361,8749,ADAM18
362,8728,ADAM19
363,8759,ADAM1A
364,2515,ADAM2
365,8748,ADAM20
366,8747,ADAM21
367,53616,ADAM22
368,8745,ADAM23
369,13526,ADAM24
370,23793,ADAM25
371,13525,ADAM26A
372,10863,ADAM28
374,11085,ADAM30
375,203102,ADAM32
376,80332,ADAM33
377,252866,ADAM34
378,384813,ADAM34L
379,1587,ADAM3A
380,11498,ADAM4
381,500688,ADAM4L1
382,255926,ADAM5
384,238406,ADAM6A
385,8756,ADAM7
386,101,ADAM8
387,8754,ADAM9
388,27299,ADAMDEC1
389,9510,ADAMTS1
390,81794,ADAMTS10
391,81792,ADAMTS12
392,11093,ADAMTS13
393,140766,ADAMTS14
394,170689,ADAMTS15
395,170690,ADAMTS16
396,170691,ADAMTS17
397,170692,ADAMTS18
398,171019,ADAMTS19
399,9509,ADAMTS2
400,80070,ADAMTS20
401,9508,ADAMTS3
402,9507,ADAMTS4
403,11096,ADAMTS5
404,11174,ADAMTS6
405,11173,ADAMTS7
406,11095,ADAMTS8
407,56999,ADAMTS9
408,92949,ADAMTSL1
409,9719,ADAMTSL2
410,57188,ADAMTSL3
411,54507,ADAMTSL4
412,339366,ADAMTSL5
413,11033,ADAP1
414,55803,ADAP2
415,103,ADAR
416,104,ADARB1
417,105,ADARB2
418,23536,ADAT1
419,134637,ADAT2
420,113179,ADAT3
421,57143,ADCK1
422,90956,ADCK2
424,203054,ADCK5
425,107,ADCY1
426,55811,ADCY10
427,108,ADCY2
428,109,ADCY3
429,196883,ADCY4
430,111,ADCY5
431,112,ADCY6
432,113,ADCY7
433,114,ADCY8
434,115,ADCY9
435,116,ADCYAP1
436,117,ADCYAP1R1
437,118,ADD1
438,119,ADD2
439,120,ADD3
440,79747,ADGB
441,84435,ADGRA1
442,25960,ADGRA2
443,166647,ADGRA3
444,575,ADGRB1
445,576,ADGRB2
446,577,ADGRB3
447,283383,ADGRD1
448,2015,ADGRE1
449,52614,ADGRE4
451,976,ADGRE5
452,266977,ADGRF1
453,222611,ADGRF2
454,165082,ADGRF3
455,221393,ADGRF4
456,221395,ADGRF5
457,9289,ADGRG1
458,10149,ADGRG2
459,222487,ADGRG3
460,139378,ADGRG4
461,221188,ADGRG5
462,57211,ADGRG6
463,84873,ADGRG7
464,22859,ADGRL1
465,23266,ADGRL2
466,23284,ADGRL3
467,64123,ADGRL4
468,84059,ADGRV1
469,11522,ADH1
471,127,ADH4
472,128,ADH5
473,130,ADH6
474,69117,ADH6A
475,131,ADH7
476,137872,ADHFE1
477,55256,ADI1
478,149685,ADIG
479,9370,ADIPOQ
480,51094,ADIPOR1
481,79602,ADIPOR2
483,132,ADK
484,133,ADM
485,79924,ADM2
486,23394,ADNP
487,22850,ADNP2
488,84890,ADO
489,134,ADORA1
490,135,ADORA2A
491,136,ADORA2B
492,140,ADORA3
493,83440,ADPGK
494,141,ADPRH
495,113622,ADPRHL1
496,56985,ADPRM
497,54936,ADPRS
498,148,ADRA1A
499,147,ADRA1B
500,146,ADRA1D
501,150,ADRA2A
502,151,ADRA2B
503,152,ADRA2C
504,153,ADRB1
505,154,ADRB2
506,155,ADRB3
507,11047,ADRM1
508,158,ADSL
509,11566,ADSS
510,11565,ADSSL1
511,84830,ADTRP
512,165,AEBP1
513,121536,AEBP2
514,100303084,AEL1
515,100303145,AEL2
516,100303015,AEL3
517,64782,AEN
519,60312,AFAP1
520,134265,AFAP1L1
521,84632,AFAP1L2
522,4301,AFDN
523,4299,AFF1
524,100506746,AFF1-AS1
525,2334,AFF2
526,3899,AFF3
527,27125,AFF4
528,246269,AFG1L
529,114896,AFG3L1
530,10939,AFG3L2
531,173,AFM
532,125061,AFMID
533,174,AFP
534,54812,AFTPH
535,175,AGA
536,116987,AGAP1
537,116986,AGAP2
538,116988,AGAP3
539,123624,AGBL1
540,79841,AGBL2
541,340351,AGBL3
542,84871,AGBL4
543,60509,AGBL5
544,177,AGER
545,3267,AGFG1
546,689529,AGFG1-PS1
547,3268,AGFG2
548,55109,AGGF1
549,55750,AGK
550,178,AGL
551,79814,AGMAT
552,392636,AGMO
553,26523,AGO1
554,27161,AGO2
555,192669,AGO3
556,192670,AGO4
557,10554,AGPAT1
558,10555,AGPAT2
559,56894,AGPAT3
560,56895,AGPAT4
561,55326,AGPAT5
563,8540,AGPS
564,10551,AGR2
565,155465,AGR3
566,375790,AGRN
567,181,AGRP
568,183,AGT
569,23287,AGTPBP1
571,11607,AGTR1A
572,11608,AGTR1B
573,186,AGTR2
574,57085,AGTRAP
575,189,AGXT
576,64902,AGXT2
577,25909,AHCTF1
578,191,AHCY
579,10768,AHCYL1
580,23382,AHCYL2
581,27245,AHDC1
582,54806,AHI1
583,79026,AHNAK
584,113146,AHNAK2
585,196,AHR
586,57491,AHRR
587,10598,AHSA1
588,268390,AHSA2
589,197,AHSG
590,51327,AHSP
591,110113,AIA1
592,100381240,AIA10
593,100381231,AIA11
