,GeneID,Symbol
290,9625,AATK
291,105246961,AB010352
292,98844,AB039971
293,100562,AB039976
294,105452,AB039980
295,58213,AB041806
296,101057,AB059417
297,382062,AB124611
298,574401,AB193402
299,18,ABAT
300,100035767,ABBP1
301,100034879,ABBP2
302,100036061,ABBP3
303,493093,ABBP4
304,19,ABCA1
305,26154,ABCA12
306,154664,ABCA13
307,67928,ABCA14
308,320631,ABCA15
309,233810,ABCA16
310,381072,ABCA17
311,20,ABCA2
312,21,ABCA3
313,24,ABCA4
314,23461,ABCA5
315,23460,ABCA6
316,10347,ABCA7
318,217258,ABCA8A
319,27404,ABCA8B
320,10350,ABCA9
322,23456,ABCB10
323,8647,ABCB11
324,18671,ABCB1A
325,18669,ABCB1B
326,5244,ABCB4
327,340273,ABCB5
328,10058,ABCB6
329,22,ABCB7
330,11194,ABCB8
331,23457,ABCB9
332,4363,ABCC1
333,89845,ABCC10
334,94160,ABCC12
335,1244,ABCC2
336,8714,ABCC3
337,10257,ABCC4
338,10057,ABCC5
339,368,ABCC6
340,6833,ABCC8
341,10060,ABCC9
342,215,ABCD1
343,225,ABCD2
344,5825,ABCD3
345,5826,ABCD4
346,6059,ABCE1
347,23,ABCF1
348,10061,ABCF2
349,55324,ABCF3
350,9619,ABCG1
351,9429,ABCG2
352,27405,ABCG3
353,64137,ABCG4
354,64240,ABCG5
355,64241,ABCG8
356,100125755,ABD1
357,100035470,ABFM1
358,100036022,ABFM2
359,100036162,ABFP1
360,100035222,ABFP2
361,100036329,ABFP3
362,100035916,ABFP4
363,100035223,ABFP5
364,100035917,ABFW1
365,100035224,ABFW2
366,100035645,ABFW3
367,100035225,ABFW4
368,100036192,ABFW5
369,100036330,ABFW6
370,84696,ABHD1
371,55347,ABHD10
372,83451,ABHD11
373,69812,ABHD11OS
374,26090,ABHD12
375,145447,ABHD12B
376,84945,ABHD13
377,25864,ABHD14A
378,84836,ABHD14B
379,116236,ABHD15
380,7920,ABHD16A
381,140701,ABHD16B
382,81926,ABHD17A
383,51104,ABHD17B
384,58489,ABHD17C
385,80167,ABHD18
386,11057,ABHD2
387,171586,ABHD3
388,63874,ABHD4
389,51099,ABHD5
390,57406,ABHD6
391,79575,ABHD8
392,109520,ABHR1
393,109521,ABHR2
394,114085,ABHR3
395,10006,ABI1
396,10152,ABI2
397,51225,ABI3
398,25890,ABI3BP
399,54942,ABITRAM
400,25,ABL1
401,27,ABL2
402,3983,ABLIM1
403,84448,ABLIM2
404,22885,ABLIM3
405,100035026,ABLP
406,114645,ABMM
407,28,ABO
409,29,ABR
410,137735,ABRA
411,58527,ABRACL
412,84142,ABRAXAS1
413,23172,ABRAXAS2
414,29777,ABT1
415,80325,ABTB1
416,25841,ABTB2
417,11358,AC
419,113868,ACAA1A
420,235674,ACAA1B
421,10449,ACAA2
422,31,ACACA
423,32,ACACB
424,80724,ACAD10
425,84129,ACAD11
426,338350,ACAD12
427,27034,ACAD8
428,28976,ACAD9
429,33,ACADL
430,34,ACADM
431,111268,ACADM-PS1
432,111267,ACADM-PS2
433,35,ACADS
434,36,ACADSB
435,37,ACADVL
436,110901,ACADVL-RS1
437,176,ACAN
438,9744,ACAP1
439,23527,ACAP2
440,116983,ACAP3
441,38,ACAT1
442,39,ACAT2
443,224530,ACAT3
444,64746,ACBD3
445,79777,ACBD4
446,91452,ACBD5
447,84320,ACBD6
448,414149,ACBD7
449,104371,ACC
450,84680,ACCS
451,390110,ACCSL
452,65057,ACD
453,1636,ACE
454,59272,ACE2
455,217246,ACE3
456,125981,ACER1
457,340485,ACER2
458,55331,ACER3
459,110112,ACF1
460,43,ACHE
461,22985,ACIN1
462,107482,ACK
463,2532,ACKR1
464,1238,ACKR2
465,57007,ACKR3
466,51554,ACKR4
467,100035951,ACLA1
468,100035309,ACLA2
469,47,ACLY
470,130013,ACMSD
472,230161,ACNAT1
473,209186,ACNAT2
474,48,ACO1
475,50,ACO2
476,730249,ACOD1
477,641371,ACOT1
478,64833,ACOT10
479,26027,ACOT11
480,134526,ACOT12
481,55856,ACOT13
482,10965,ACOT2
483,171281,ACOT3
484,122970,ACOT4
485,217698,ACOT5
486,641372,ACOT6
487,11332,ACOT7
488,10005,ACOT8
489,23597,ACOT9
490,51,ACOX1
491,8309,ACOX2
492,8310,ACOX3
493,55289,ACOXL
494,52,ACP1
495,53,ACP2
496,93650,ACP4
497,54,ACP5
499,51205,ACP6
500,390928,ACP7
502,56318,ACPP
503,49,ACR
504,84519,ACRBP
505,56,ACRV1
506,23205,ACSBG1
507,81616,ACSBG2
508,78625,ACSBG3
509,80221,ACSF2
510,197322,ACSF3
511,2180,ACSL1
512,2181,ACSL3
513,2182,ACSL4
514,51703,ACSL5
515,23305,ACSL6
516,116285,ACSM1
517,233799,ACSM2
519,6296,ACSM3
520,341392,ACSM4
521,54988,ACSM5
522,260419,ACSNS1
523,492868,ACSNS2
524,492869,ACSNS3
525,84532,ACSS1
526,55902,ACSS2
527,74945,ACSS2OS
528,79611,ACSS3
529,11452,ACT
530,109776,ACT1
531,109789,ACT2
532,104113,ACT3
533,109790,ACT5
534,109777,ACT6
535,109751,ACT7
536,58,ACTA1
537,108246,ACTA1-RS1
538,59,ACTA2
539,60,ACTB
540,345651,ACTBL2
541,667113,ACTB-PS1
542,110758,ACTB-RS1
543,70,ACTC1
544,114776,ACTD1
545,114777,ACTD2
546,114778,ACTD3
547,114779,ACTD4
548,102636989,ACTE1
549,71,ACTG1
550,72,ACTG2
551,621269,ACTG-PS1
552,108167,ACTG-PS2
553,170487,ACTL10
554,67722,ACTL11
555,86,ACTL6A
556,51412,ACTL6B
557,10881,ACTL7A
558,10880,ACTL7B
559,284382,ACTL9
560,87,ACTN1
561,88,ACTN2
562,107694,ACTN2-RS1
563,89,ACTN3
564,81,ACTN4
565,55860,ACTR10
566,10121,ACTR1A
567,10120,ACTR1B
568,10097,ACTR2
569,10096,ACTR3
570,57180,ACTR3B
571,667799,ACTR3-PS
572,79913,ACTR5
573,64431,ACTR6
574,93973,ACTR8
575,117074,ACTRE1
576,117075,ACTRE2
577,117076,ACTRE3
578,117077,ACTRE4
579,100035703,ACTRE5
580,100036389,ACTRE6
581,139741,ACTRT1
582,140625,ACTRT2
583,84517,ACTRT3
584,116815,ACTVTY1
585,116814,ACTVTY2
586,90,ACVR1
587,91,ACVR1B
