,GeneID,Symbol
249,49,ACR
250,84519,ACRBP
251,645529,ACRP1
252,85505,ACRPS
253,414058,ACRPV
254,56,ACRV1
255,23205,ACSBG1
256,81616,ACSBG2
257,80221,ACSF2
258,197322,ACSF3
259,2180,ACSL1
260,2181,ACSL3
261,105373904,ACSL3-AS1
262,2182,ACSL4
263,51703,ACSL5
264,23305,ACSL6
265,101927693,ACSL6-AS1
266,116285,ACSM1
267,123876,ACSM2A
268,348158,ACSM2B
269,6296,ACSM3
270,341392,ACSM4
271,54988,ACSM5
272,100421779,ACSM5P1
273,142827,ACSM6
274,84532,ACSS1
275,55902,ACSS2
276,79611,ACSS3
277,58,ACTA1
278,59,ACTA2
279,100132116,ACTA2-AS1
280,60,ACTB
281,345651,ACTBL2
282,643309,ACTBP1
283,446207,ACTBP10
284,644220,ACTBP11
285,100462767,ACTBP12
286,389120,ACTBP13
287,389976,ACTBP14
288,62,ACTBP2
289,63,ACTBP3
290,64,ACTBP4
291,66,ACTBP6
292,67,ACTBP7
293,68,ACTBP8
294,69,ACTBP9
295,70,ACTC1
296,780896,ACTD
297,399923,ACTE1P
298,71,ACTG1
299,73,ACTG1P1
300,83,ACTG1P10
301,414754,ACTG1P11
302,100418921,ACTG1P12
303,100418920,ACTG1P13
304,100418910,ACTG1P14
305,100418951,ACTG1P15
306,100418960,ACTG1P16
307,283693,ACTG1P17
308,100418924,ACTG1P18
309,644160,ACTG1P19
310,74,ACTG1P2
311,644961,ACTG1P20
312,100131291,ACTG1P21
313,100131953,ACTG1P22
314,442097,ACTG1P23
315,441783,ACTG1P24
316,148709,ACTG1P25
317,75,ACTG1P3
318,648740,ACTG1P4
319,78,ACTG1P6
320,79,ACTG1P7
321,80,ACTG1P8
322,82,ACTG1P9
323,72,ACTG2
324,170487,ACTL10
325,86,ACTL6A
326,51412,ACTL6B
327,10881,ACTL7A
328,10880,ACTL7B
329,81569,ACTL8
330,284382,ACTL9
331,87,ACTN1
332,161159,ACTN1-AS1
333,88,ACTN2
334,89,ACTN3
335,81,ACTN4
336,344978,ACTN4P1
337,391026,ACTN4P2
338,106480335,ACTP1
339,55860,ACTR10
340,10121,ACTR1A
341,100287074,ACTR1AP1
342,10120,ACTR1B
343,10097,ACTR2
344,10096,ACTR3
345,101060091,ACTR3-AS1
346,57180,ACTR3B
347,643050,ACTR3BP1
348,440888,ACTR3BP2
349,647156,ACTR3BP3
350,777774,ACTR3BP4
351,399746,ACTR3BP5
352,644773,ACTR3BP6
353,653857,ACTR3C
354,100288580,ACTR3P1
355,100129013,ACTR3P2
356,100128020,ACTR3P3
357,79913,ACTR5
358,64431,ACTR6
359,100421495,ACTR6P1
360,93973,ACTR8
361,139741,ACTRT1
362,140625,ACTRT2
363,84517,ACTRT3
364,90,ACVR1
365,91,ACVR1B
366,130399,ACVR1C
367,92,ACVR2A
368,93,ACVR2B
369,100128640,ACVR2B-AS1
370,94,ACVRL1
371,95,ACY1
372,91703,ACY3
373,97,ACYP1
374,98,ACYP2
375,780912,AD10
376,100188795,AD11
377,100188830,AD12
378,100188837,AD13
379,100188754,AD14
380,100188838,AD15
381,100271718,AD16
382,101290498,AD17
383,8081,AD5
384,64851,AD6
385,114475,AD7
386,353128,AD8
387,450086,AD9
388,100,ADA
389,51816,ADA2
390,132612,ADAD1
391,100422386,ADAD1P1
392,100422407,ADAD1P2
393,161931,ADAD2
394,161823,ADAL
395,102,ADAM10
396,4185,ADAM11
397,8038,ADAM12
398,8751,ADAM15
399,6868,ADAM17
400,8749,ADAM18
401,8728,ADAM19
402,8759,ADAM1A
403,100420505,ADAM1B
404,2515,ADAM2
405,8748,ADAM20
406,317760,ADAM20P1
407,100533671,ADAM20P2
408,644325,ADAM20P3
409,8747,ADAM21
410,145241,ADAM21P1
411,53616,ADAM22
412,8745,ADAM23
413,646479,ADAM24P
414,10863,ADAM28
415,11086,ADAM29
416,11085,ADAM30
417,203102,ADAM32
418,80332,ADAM33
419,1587,ADAM3A
420,1596,ADAM3B
421,255926,ADAM5
422,8755,ADAM6
423,8756,ADAM7
424,101,ADAM8
425,8754,ADAM9
426,27299,ADAMDEC1
427,9510,ADAMTS1
428,81794,ADAMTS10
429,81792,ADAMTS12
430,11093,ADAMTS13
431,140766,ADAMTS14
432,170689,ADAMTS15
433,170690,ADAMTS16
434,170691,ADAMTS17
435,170692,ADAMTS18
436,171019,ADAMTS19
437,103689846,ADAMTS19-AS1
438,9509,ADAMTS2
439,80070,ADAMTS20
440,9508,ADAMTS3
441,9507,ADAMTS4
442,11096,ADAMTS5
443,11174,ADAMTS6
444,11173,ADAMTS7
445,390660,ADAMTS7P1
446,400406,ADAMTS7P3
447,642935,ADAMTS7P4
448,11095,ADAMTS8
449,56999,ADAMTS9
450,101929335,ADAMTS9-AS1
451,100507098,ADAMTS9-AS2
452,92949,ADAMTSL1
453,9719,ADAMTSL2
454,57188,ADAMTSL3
455,54507,ADAMTSL4
456,574406,ADAMTSL4-AS1
457,100289061,ADAMTSL4-AS2
458,339366,ADAMTSL5
459,11033,ADAP1
460,55803,ADAP2
461,103,ADAR
462,104,ADARB1
463,105,ADARB2
464,642394,ADARB2-AS1
465,23536,ADAT1
466,134637,ADAT2
467,113179,ADAT3
468,57143,ADCK1
469,90956,ADCK2
470,203054,ADCK5
471,106,ADCP1
472,107,ADCY1
473,55811,ADCY10
474,221442,ADCY10P1
475,108,ADCY2
476,109,ADCY3
477,196883,ADCY4
478,111,ADCY5
479,112,ADCY6
480,100506125,ADCY6-DT
481,113,ADCY7
482,114,ADCY8
483,115,ADCY9
484,116,ADCYAP1
485,117,ADCYAP1R1
486,118,ADD1
487,119,ADD2
488,120,ADD3
489,100505933,ADD3-AS1
490,122,ADFN
491,79747,ADGB
492,84435,ADGRA1
493,100128127,ADGRA1-AS1
494,25960,ADGRA2
495,166647,ADGRA3
496,575,ADGRB1
497,576,ADGRB2
498,577,ADGRB3
499,283383,ADGRD1
500,105755954,ADGRD1-AS1
501,347088,ADGRD2
502,2015,ADGRE1
503,30817,ADGRE2
504,84658,ADGRE3
505,326342,ADGRE4P
506,976,ADGRE5
507,266977,ADGRF1
508,222611,ADGRF2
509,165082,ADGRF3
510,221393,ADGRF4
511,221395,ADGRF5
512,101926962,ADGRF5-AS1
513,389740,ADGRF5P1
514,441416,ADGRF5P2
515,9289,ADGRG1
516,10149,ADGRG2
517,222487,ADGRG3
518,139378,ADGRG4
519,221188,ADGRG5
520,57211,ADGRG6
521,84873,ADGRG7
522,22859,ADGRL1
523,23266,ADGRL2
524,23284,ADGRL3
525,101927186,ADGRL3-AS1
526,64123,ADGRL4
527,84059,ADGRV1
528,124,ADH1A
529,125,ADH1B
530,126,ADH1C
531,127,ADH4
532,128,ADH5
533,343296,ADH5P2
534,100131810,ADH5P3
535,642443,ADH5P4
536,115945146,ADH5P5
537,130,ADH6
538,131,ADH7
539,450087,ADHD1
540,450088,ADHD2
541,450089,ADHD3
542,450090,ADHD4
543,100190790,ADHD5
544,100190791,ADHD6
545,137872,ADHFE1
546,55256,ADI1
547,100130936,ADI1P1
548,100288971,ADI1P2
549,100288129,ADI1P3
550,149685,ADIG
551,9370,ADIPOQ
552,100874095,ADIPOQ-AS1
553,51094,ADIPOR1
554,645220,ADIPOR1P1
555,390503,ADIPOR1P2
556,79602,ADIPOR2
557,171511,ADIPQTL2
558,171512,ADIPQTL3
559,100271698,ADIPQTL4
560,100653375,ADIPQTL5
561,10974,ADIRF
562,100133190,ADIRF-AS1
563,132,ADK
564,133,ADM
565,79924,ADM2
566,199800,ADM5
567,23394,ADNP
568,22850,ADNP2
569,101927631,ADNP-AS1
570,84890,ADO
571,134,ADORA1
572,135,ADORA2A
573,646023,ADORA2A-AS1
574,136,ADORA2B
575,137,ADORA2BP1
576,140,ADORA3
577,83440,ADPGK
578,100287559,ADPGK-AS1
579,141,ADPRH
580,113622,ADPRHL1
581,56985,ADPRM
582,54936,ADPRS
583,148,ADRA1A
584,147,ADRA1B
585,146,ADRA1D
586,150,ADRA2A
587,151,ADRA2B
588,152,ADRA2C
589,153,ADRB1
590,154,ADRB2
591,155,ADRB3
592,11047,ADRM1
593,158,ADSL
594,122622,ADSS1
595,159,ADSS2
596,84830,ADTRP
597,165,AEBP1
598,121536,AEBP2
599,64782,AEN
600,169,AF8T
601,170,AFA
602,100188784,AFA1
603,60312,AFAP1
604,84740,AFAP1-AS1
605,134265,AFAP1L1
606,84632,AFAP1L2
607,171,AFD1
